lat,dens
6.356783919597987165e+00,1.487102505194800361e+00
6.909547738693461838e+00,1.535432064956479881e+00
7.462311557788936511e+00,1.584240953673859531e+00
8.015075376884418290e+00,1.633460407207530496e+00
8.567839195979892963e+00,1.683035298967490156e+00
9.120603015075374742e+00,1.732931204363431732e+00
9.673366834170849415e+00,1.783139337022092485e+00
1.022613065326632409e+01,1.833678781139482794e+00
1.077889447236179876e+01,1.884595809960766477e+00
1.133165829145727344e+01,1.935960458712004506e+00
1.188442211055276232e+01,1.987860856208371940e+00
1.243718592964823699e+01,2.040396067207719710e+00
1.298994974874371167e+01,2.093668328228405873e+00
1.354271356783918634e+01,2.147775563177678038e+00
1.409547738693466101e+01,2.202804952122833004e+00
1.464824120603014990e+01,2.258828123393480158e+00
1.520100502512562457e+01,2.315898283303349015e+00
1.575376884422109924e+01,2.374049330152652182e+00
1.630653266331657392e+01,2.433296757356414819e+00
1.685929648241204859e+01,2.493639963336823140e+00
1.741206030150753747e+01,2.555065469765640085e+00
1.796482412060301215e+01,2.617550508870035486e+00
1.851758793969848682e+01,2.681066467717163171e+00
1.907035175879396149e+01,2.745581758342803713e+00
1.962311557788943617e+01,2.811063799111674477e+00
2.017587939698492505e+01,2.877479926989331194e+00
2.072864321608039972e+01,2.944797197278052003e+00
2.128140703517587440e+01,3.012981155490815688e+00
2.183417085427134907e+01,3.081993778127702477e+00
2.238693467336682374e+01,3.151790870337320083e+00
2.293969849246229842e+01,3.222319275112501380e+00
2.349246231155778730e+01,3.293514286948996173e+00
2.404522613065326198e+01,3.365297667410175109e+00
2.459798994974873665e+01,3.437576625451483014e+00
2.515075376884421132e+01,3.510244046960585784e+00
2.570351758793968600e+01,3.583180135352500351e+00
2.625628140703517488e+01,3.656255464436426461e+00
2.680904522613064955e+01,3.729335260969998345e+00
2.736180904522612423e+01,3.802284551046476224e+00
2.791457286432159890e+01,3.874973651039336442e+00
2.846733668341707357e+01,3.947283390142187542e+00
2.902010050251254825e+01,4.019109441090308543e+00
2.957286432160803713e+01,4.090365218664959279e+00
3.012562814070351180e+01,4.160982975201194201e+00
3.067839195979898648e+01,4.230912953821943212e+00
3.123115577889446115e+01,4.300120716005841892e+00
3.178391959798993582e+01,4.368582997640703347e+00
3.233668341708542471e+01,4.436282629193438076e+00
3.288944723618089938e+01,4.503203156884829639e+00
3.344221105527637405e+01,4.569323816199758248e+00
3.399497487437184873e+01,4.634615448101166102e+00
3.454773869346732340e+01,4.699037834388352763e+00
3.510050251256281229e+01,4.762538787780139060e+00
3.565326633165828696e+01,4.825055184409701603e+00
3.620603015075376163e+01,4.886515981044113666e+00
3.675879396984923630e+01,4.946847114252493682e+00
3.731155778894471098e+01,5.005978026279123583e+00
3.786432160804019986e+01,5.063849396486287624e+00
3.841708542713567454e+01,5.120421483024909293e+00
3.896984924623114921e+01,5.175682317193039950e+00
3.952261306532662388e+01,5.229654877062057672e+00
4.007537688442209856e+01,5.282402337897710964e+00
4.062814070351757323e+01,5.334030588461787126e+00
4.118090452261306211e+01,5.384687428362182615e+00
4.173366834170853679e+01,5.434558206127677593e+00
4.228643216080401146e+01,5.483858073230800656e+00
4.283919597989948613e+01,5.532821444183102066e+00
4.339195979899496081e+01,5.581689587046562373e+00
