lat,dens
1.354271356783918634e+01,1.186100865786622105e+00
1.409547738693466101e+01,1.192614525400125691e+00
1.464824120603014990e+01,1.199069689895290391e+00
1.520100502512562457e+01,1.205468668312646541e+00
1.575376884422109924e+01,1.211801432854459959e+00
1.630653266331657392e+01,1.218047657711844867e+00
1.685929648241204859e+01,1.224180091141637394e+00
1.741206030150753747e+01,1.230168729458915422e+00
1.796482412060301215e+01,1.235985201370306763e+00
1.851758793969848682e+01,1.241606795507785854e+00
1.907035175879396149e+01,1.247019658318618385e+00
1.962311557788943617e+01,1.252220830528277373e+00
2.017587939698492505e+01,1.257218952127506562e+00
2.072864321608039972e+01,1.262033624641306195e+00
2.128140703517587440e+01,1.266693557824359662e+00
2.183417085427134907e+01,1.271233736271402570e+00
2.238693467336682374e+01,1.275691917217749882e+00
2.293969849246229842e+01,1.280104816601533191e+00
2.349246231155778730e+01,1.284504360566050440e+00
2.404522613065326198e+01,1.288914377378739706e+00
2.459798994974873665e+01,1.293348080801205224e+00
2.515075376884421132e+01,1.297806647960956461e+00
2.570351758793968600e+01,1.302279118843453931e+00
2.625628140703517488e+01,1.306743737856805421e+00
2.680904522613064955e+01,1.311170721557437524e+00
2.736180904522612423e+01,1.315526277939574218e+00
2.791457286432159890e+01,1.319777536217311420e+00
2.846733668341707357e+01,1.323897892834208001e+00
2.902010050251254825e+01,1.327872164107123609e+00
2.957286432160803713e+01,1.331700882785419759e+00
3.012562814070351180e+01,1.335403103572913697e+00
3.067839195979898648e+01,1.339017200248514561e+00
3.123115577889446115e+01,1.342599339960352189e+00
3.178391959798993582e+01,1.346219589808205219e+00
3.233668341708542471e+01,1.349955915197721623e+00
3.288944723618089938e+01,1.353886627845640067e+00
3.344221105527637405e+01,1.358082089765639600e+00
3.399497487437184873e+01,1.362596637771680497e+00
3.454773869346732340e+01,1.367461731140198200e+00
3.510050251256281229e+01,1.372681229193674302e+00
3.565326633165828696e+01,1.378229480908042204e+00
